kind	name	status
path	script_dir	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/outer_suite_wrappers
path	branch_root	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2
path	artifacts_root	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/artifacts/lca_tree_stress_v5
path	smoke_output_root	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/artifacts/lca_tree_stress_v5/smoke
path	failure_root	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/artifacts/lca_tree_stress_v5/smoke_latest_failure
path	setup_root	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/artifacts/lca_tree_stress_v5/smoke_setup
path	setup_tmpdir	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/artifacts/lca_tree_stress_v5/.tmp/lca_smoke.setup.tmp
path	session_state_root	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/artifacts/lca_tree_stress_v5/.tmp/lca_smoke.session
path	build_root	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/artifacts/lca_tree_stress_v5/smoke_setup/build
path	smoke_manifest_source	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/boj28350_resume/smoke_cases.tsv
path	smoke_manifest_snapshot	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/artifacts/lca_tree_stress_v5/smoke_setup/smoke_cases.snapshot.tsv
command	bash	/bin/bash
command	python3	/usr/bin/python3
command	mktemp	/usr/bin/mktemp
command	dirname	/usr/bin/dirname
command	chmod	/bin/chmod
command	cp	/bin/cp
command	mv	/bin/mv
command	rm	/bin/rm
command	tail	/usr/bin/tail
command	sleep	/bin/sleep
command	grep	/usr/bin/grep
compiler	g++	/usr/bin/g++
file	solver source	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/boj28350_resume/boj28350_branch_3_solver.cpp
file	artifact resolver	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/artifact_paths.py
file	release env wrapper	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/solver_release_env.sh
file	branch-local case helper	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/branch_run_case.py
file	branch-local validator	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/branch_validator.py
file	smoke case manifest	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/boj28350_resume/smoke_cases.tsv
file	build helper	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/build.py
file	resume helper	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/boj28350_resume.py
executable	build wrapper	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/build.sh
python_entrypoint	build helper imports	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/build.py
python_entrypoint	run case helper imports	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/branch_run_case.py
python_entrypoint	validator helper imports	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/branch_validator.py
file	smoke manifest active	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/diag/runtime_subac3_smoke_failure_bundle_check_v2/artifacts/lca_tree_stress_v5/smoke_setup/smoke_cases.snapshot.tsv
