sublemma_key	proof_status	assumptions	conclusion	proof_summary	evidence_path	missing_hypothesis	next_action
absorption_trigger_well_defined	proved_under_current_scope	witness is in recognized family-chain source-form contract	trigger predicate is a named operation precondition	The trigger is defined as a finite predicate on the recognized family-chain component, separate from lift and theorem applicability.	branch_4/90/runtime/family_chain_absorption_notation_90.tsv	none	use_as_precondition
absorption_target_object_in_fresh_family_chain_package	proved_under_current_scope	trigger selects one of pair52 through high57 bounded target layers	target object availability is current-runtime fresh	The family-chain lower-layer fingerprint records 7 total, 7 fresh, 0 imported, and caveat closed; this supports target availability only.	branch_4/90/runtime/family_chain_lower_layers_fingerprint_90.tsv	target construction totality for arbitrary trigger	use_fresh_package_input
bounded_family_chain_theorem_applies_to_absorption_target	proof_sketch_only	target object is valid and payload agrees with bounded theorem input	bounded family-chain theorem applies to target	The existing absorption memo already makes theorem applicability conditional on preserved lifted payload. The status-congruence bridge now classifies this as conditional refutation/absorption.	branch_4/90/runtime/family_chain_support_absorption_90.tsv	payload/status alignment with source	higher_support_necessity_recheck
self_verification_applies_to_absorption_target	proved_under_current_scope	target object is one of the fresh current-runtime generated family-chain objects	self-verification package applies	The current lower-layer generation audit and fingerprint give current-runtime package membership for the target layer.	branch_4/90/runtime/family_chain_lower_layers_generation_audit_90.tsv	target identity proof for arbitrary trigger	use_fresh_package_input
absorption_contradiction_valid	proof_sketch_only	the target theorem applies to the same obstruction payload as the source branch	source branch is refuted	The contradiction branch is valid only after payload and status identification connect the source obstruction to the bounded target theorem object. The status round separates lifted-target refutation from direct source refutation.	branch_4/90/runtime/family_chain_absorption_refutation_lemma_90.tsv	payload equality/refinement;counterexample refutation proof	project_to_active_status_locality_refinement
absorption_smaller_witness_well_defined	proof_sketch_only	direct contradiction is unavailable but the matched component can be removed or replaced	residual witness candidate is defined	The construction names the residual object and normalization route, but keeps normal-form and semantic transfer obligations explicit.	branch_4/90/runtime/family_chain_absorption_reduction_construction_90.tsv	normal-form residual construction	refine_operation_construction
absorption_smaller_witness_measure_decreases	blocked_by_measure	residual branch removes or replaces an absorbable component	strict support/canonical/depth lexicographic measure decrease	Unlike the contradiction branch, the residual branch needs a separate proof that the normalized residual strictly decreases support size, canonical rank, family-chain depth, or the accepted lexicographic tuple.	branch_4/90/runtime/family_chain_absorption_measure_decrease_90.tsv	strict residual measure-decrease proof	project_to_active_status_locality_refinement
absorption_preserves_payload_refinement	proof_sketch_only	phase2/phase3 payload relation applies to the absorbed target	payload relation is preserved or refined	Payload transfer is compatible with existing refinement skeletons but is not completed for every absorption branch.	branch_4/90/runtime/family_chain_payload_refinement_relation_90.tsv	absorption-specific payload-transfer proof	higher_support_necessity_recheck
absorption_preserves_or_reduces_counterexample_status	blocked_by_counterexample_status	payload transfer is available and output is normalized	status is preserved, reduced, or refuted	The operation cannot be promoted until source-target refutation alignment or residual preservation/reduction is proved for absorption. The status round makes the skeleton proof-ready but keeps this blocker explicit.	branch_4/90/runtime/family_chain_absorption_status_skeleton_90.tsv	counterexample-status preservation or reduction theorem	project_to_active_status_locality_refinement
absorption_failure_is_named_escape	proved_under_current_scope	trigger, target, applicability, measure, payload, or status condition fails	failure is classified as named blocker or higher-support/status escape	The interface already keeps unclosed support>8 residuals named rather than hidden. This round attaches absorption failure to that interface.	branch_4/90/runtime/higher_support_escape_interface_90.tsv	higher-support bound for closure	higher_support_necessity_recheck_after_status_bridge
