metric	value
lemma_name	ready_operation_status_congruence_or_named_escape
selected_statement	operation_status_preservation_congruence_for_ready_operations
exact_statement	For each currently ready or partial-ready support-reduction operation, the counterexample-status outcome is classified as preserved, reduced, refuted, absorbed, named operation blocker, higher-support escape, or not applicable.
assumption_count	10
conclusion	Status language and operation table are first-class; delete-redundant status and measure guards are current-scope proved; project-to-active and coordinate-contraction status are proof-ready with locality/congruence open; compression/absorption status proofs remain open exact blockers.
status_language	status_preserved;status_reduced_to_smaller_witness;status_refuted_by_contradiction;status_absorbed_by_family_chain_theorem;status_escape_to_higher_support;status_escape_to_named_operation_blocker;status_not_applicable
operation_scope	delete_redundant_support_coordinate;project_to_active_support;contract_equivalent_support_coordinates;canonical_motif_compression;family_chain_absorption_reduction;frontier_capture_reduction;tail_obstruction_reduction;higher_support_escape_when_irreducible
delete_redundant_case	status_reduced_to_smaller_witness_under_redundancy_precondition
delete_redundant_proof_status	proved_under_current_scope
project_to_active_case	status_preserved_or_reduced_or_named_escape_under_active_projection
project_to_active_proof_status	proof_ready_skeleton_project_to_active_status_locality_open
coordinate_contraction_case	status_reduced_if_quotient_congruence_else_named_operation_blocker
coordinate_contraction_proof_status	proof_ready_skeleton_contract_equivalent_status_congruence_open
canonical_compression_case	status_reduced_if_motif_status_preserved_else_named_operation_blocker
canonical_compression_proof_status	blocked_by_status_preservation
family_chain_absorption_case	status_refuted_or_absorbed_or_reduced_or_named_escape
family_chain_absorption_proof_status	blocked_by_measure_and_status_congruence
frontier_capture_case	status_preserved_then_limited_theorem_input_after_valid_reduction
frontier_capture_proof_status	proved_under_current_scope_after_valid_reduction
tail_obstruction_case	status_preserved_then_checked_tail_capture_after_valid_reduction
tail_obstruction_proof_status	proved_under_current_scope_after_valid_reduction
higher_support_escape_case	status_escape_to_higher_support_deferred_until_operation_proofs_close
higher_support_escape_proof_status	higher_support_deferred_due_to_operation_proofs_open
after_project_to_active_status	project_to_active_status_proof_ready_locality_open
no_hidden_case_argument	proof_sketch_only_for_current_selected_operation_taxonomy
status_congruence_obligation_count	13
proved_under_current_scope_sublemma_count	4
proof_sketch_only_sublemma_count	2
blocked_sublemma_count	2
proof_ready_open_sublemma_count	2
missing_steps	equivalent-coordinate counterexample-status congruence;canonical motif compression status preservation;family-chain absorption residual measure and status/refutation congruence;project-to-active inactive-support status locality;higher-support bound only after operation proofs close
exact_caveat	Does not prove full status preservation, support-bound completion, support8 sufficiency, higher-support necessity, or the full general theorem; no support9 scan was run.
final_status	partial_status_congruence_project_contraction_proof_ready_remaining_operations_open
next_blocker	canonical_compression_status_preservation
