metric	value
lemma_name	support_growth_partition
exact_statement	Support>8 normal minimal witnesses are partitioned into ready reduction, project-to-active and coordinate-contraction proof-ready status branches, remaining operation-proof-open residual, downstream support8 capture, named operation blocker, or true higher-support escape after operation proofs close.
assumption_count	10
conclusion	Project-to-active status is proof-ready with inactive-support locality open; coordinate contraction is proof-ready with equivalent-coordinate status congruence open; compression and absorption proof obligations remain direct blockers.
support_normal_form	support_size_canonical_schema_shell_tail_frontier_family_escape
support_measure	lexicographic_support_tuple
family_chain_lift_status	partial_lift_project_contraction_status_proof_ready_remaining_operations_open
obstruction_preservation_status	partial_preservation_project_contraction_status_proof_ready_remaining_operations_open
phase3_status	partial_phase3_project_contraction_status_proof_ready_remaining_operations_open
proof_outline_step_count	15
proved_under_current_scope_step_count	11
proof_sketch_step_count	6
blocked_step_count	3
case_split	delete_redundant_support_coordinate_selected;project_to_active_support_status_proof_ready_locality_open;contract_equivalent_support_coordinates_status_proof_ready_congruence_open;canonical_motif_compression_status_open;family_chain_absorption_reduction_measure_status_open;frontier_tail_captured_after_reduction;irreducible_higher_support_escape_after_operation_proofs
measure_decrease_status	delete_redundant_project_to_active_contraction_and_compression_measure_proved_under_preconditions_absorption_residual_measure_open
termination_status	proved_under_current_scope_given_strict_decrease
limited_bridge_application	support_le_8_after_reduction
project_to_active_status_status	proof_ready_skeleton_project_to_active_status_locality_open
missing_steps	project-to-active inactive-support counterexample-status locality;equivalent-coordinate counterexample-status congruence;canonical compression status preservation;family-chain absorption residual measure/status;arbitrary operation selection completeness;higher-support theoretical bound only after operation proofs close
exact_caveat	no_support9_scan_full_support8_sufficiency_not_proved_project_to_active_not_fully_proved_and_full_general_theorem_not_proved
final_status	partition_ready_project_contraction_status_proof_ready_remaining_operations_open
next_blocker	canonical_compression_status_preservation
