sublemma_key	proof_status	assumptions	conclusion	proof_summary	evidence_path	missing_hypothesis	next_action
coordinate_equivalence_well_defined	proved_under_current_scope	W has finite support and accepted equivalence relation is defined	Equivalence classes are finite and partition support	The accepted relation is closed reflexively, symmetrically, and transitively on a finite support set, so its classes form a finite partition.	branch_4/90/runtime/equivalent_support_coordinate_notation_90.tsv	semantic completeness outside accepted relation	use_contraction_contract
quotient_coordinate_well_defined	proved_under_current_scope	Finite equivalence classes are available	Each class has one quotient coordinate	A quotient coordinate is defined as a representative label for a nonempty class; because classes partition support, every coordinate maps to exactly one quotient coordinate.	branch_4/90/runtime/contract_equivalent_support_coordinates_operation_semantics_90.tsv	none inside quotient contract	use_quotient_contract
contraction_output_well_defined	proved_under_current_scope	Quotient map is total and payload/certificate fields satisfy operation preconditions	pushforward(W,q) is a defined object	Every indexed field is pushed forward along the total quotient map; conflicting merged fields are excluded by the congruence precondition and otherwise named as failure.	branch_4/90/runtime/contract_equivalent_support_coordinates_operation_semantics_90.tsv	full preservation of pushed-forward semantics	prove_payload_or_status_congruence
contraction_strictly_decreases_support_measure_when_nontrivial_class_exists	proved_under_current_scope	At least one equivalence class has size greater than one	|S/~| < |S| and lexicographic support measure decreases	A finite partition with one nontrivial block has strictly fewer blocks than elements; the first support-measure coordinate support_size decreases.	branch_4/90/runtime/contract_equivalent_support_coordinates_smaller_witness_90.tsv	none for arithmetic	use_measure_decrease
contraction_noop_when_all_classes_singleton	proved_under_current_scope	Every equivalence class is singleton	contraction is identity and not a smaller witness	If all classes are singleton, the quotient map is bijective and support_size is unchanged; this routes to the next operation rather than claiming reduction.	branch_4/90/runtime/contract_equivalent_support_coordinates_smaller_witness_90.tsv	none	route_to_canonical_motif_compression
contraction_output_normal_form	proof_sketch_only	normalize(pushforward(W,q)) exists	contracted witness is in support normal form	Normalization should restore the selected support ordering and row conventions after quotient, but a dedicated normal-form preservation proof is still needed.	branch_4/90/runtime/support_notation_and_normal_form_90.tsv	normal-form preservation under quotient	prove_normal_form_sublemma_later
contraction_preserves_payload_refinement	proof_sketch_only	payload congruence holds for every nontrivial class	contracted payload refines source payload	Equivalent payload roles merge to one quotient component; this is proof-ready as a congruence argument but not completed for arbitrary recognized witnesses.	branch_4/90/runtime/contract_equivalent_support_coordinates_obligations_90.tsv	payload congruence theorem	prove_payload_congruence_later
contraction_preserves_or_reduces_counterexample_status	blocked_by_counterexample_status	status congruence or smaller-witness status theorem is available	counterexample status is preserved or reduced	The current artifacts define the needed status relation and the status follow-up isolates equivalent-coordinate congruence, but they do not prove that quotienting active equivalent coordinates preserves the counterexample certificate.	branch_4/90/runtime/contract_equivalent_status_skeleton_90.tsv	equivalent-coordinate counterexample-status congruence theorem	prove_status_congruence_later
contraction_commutes_with_canonicalization	proof_sketch_only	canonical-motif equivalence holds	quotient then canonicalize agrees with canonicalize then quotient up to refinement	Canonical roles are part of the accepted equivalence, so the commutation proof is plausible, but it still depends on a canonical quotient sublemma.	branch_4/90/runtime/family_chain_canonical_lift_soundness_90.tsv	canonical quotient commutation sublemma	prove_canonicalization_sublemma_later
contraction_failure_is_named_escape	proved_under_current_scope	operation taxonomy is applied	invalid or non-applicable contraction is named	A case split records invalid equivalence, singleton no-op, payload blocker, status blocker, canonical blocker, non-family-chain blocker, and later higher-support escape.	branch_4/90/runtime/contract_equivalent_support_coordinates_skeleton_90.tsv	none for classification	use_escape_partition
no_hidden_contraction_failure_case	proof_sketch_only	current declared operation taxonomy is complete for this round	no untracked contraction failure class remains inside selected target	The selected target has explicit rows for success, no-op, blockers, later operations, and escape; arbitrary support-growth completeness remains outside this operation proof.	branch_4/90/runtime/contract_equivalent_support_coordinates_obligations_90.tsv	arbitrary operation-selection completeness	higher_support_necessity_recheck
