metric	value
lemma_name	lift_map_refinement_or_higher_support_escape
exact_statement	Recognized support-growth family-chain source forms have a defined refined lift, well-defined source/target payloads, and a phase2 layerwise refinement relation; semantic preservation remains open and failure routes to named escape.
assumption_count	10
conclusion	refined lift map totality, payload well-definedness, phase2 relation, and recognized correspondence are current-scope formalized; semantic layerwise preservation remains open
source_form_recognizer	recognizer_contract_ready_soundness_proof_sketch
source_form_classification_count	5
refined_lift_map_status	refined_lift_map_defined_for_recognized_sources_preservation_open
obstruction_payload_semantics	payload_semantics_contract_ready_preservation_open
counterexample_status_semantics	counterexample_status_contract_ready_preservation_or_reduction_open
preservation_obligation_count	11
phase2_skeleton_status	partial_phase2_proved_escape_open
proved_under_current_scope_sublemma_count	4
proof_sketch_only_sublemma_count	5
blocked_sublemma_count	1
verified_inputs_used	family_chain_lower_layers_fingerprint_90.tsv;family_chain_support_absorption_90.tsv;family_chain_obstruction_payload_semantics_90.tsv;family_chain_counterexample_status_preservation_90.tsv;higher_support_escape_interface_90.tsv
proof_outline_step_count	9
case_split	exact_payload_equality;layerwise_payload_refinement;status_preserved;smaller_witness_construction;refinement_failure_named_escape;non_family_chain_case
missing_steps	layer projection payload preservation;canonical lift soundness;counterexample status preservation theorem;operation-specific smaller witness construction
exact_caveat	full_family_chain_lift_correctness_not_proved_and_full_general_theorem_not_proved
final_status	partial_refinement_phase2_relation_ready_status_open
next_blocker	family_chain_lift_phase3_if_needed
