metric	value
general_theorem_status	not_proved
limited_bridge_theorem_status	limited_bridge_theorem_proved_under_current_scope
project_to_active_status	proof_ready_skeleton_project_to_active_status_locality_open
support_bound_status	proof_ready_skeleton_all_primary_operations_status_proof_ready_residual_congruence_open
support_reduction_status	partition_ready_all_primary_operations_status_proof_ready_residual_congruence_open
higher_support_necessity_status	higher_support_deferred_after_family_chain_absorption_status_refutation_measure_open
scan_preflight_label	scan_not_recommended_yet
readiness_label	ready_for_project_to_active_status_locality_refinement
next_action_first	project_to_active_status_locality_refinement
next_action_second	contract_equivalent_status_congruence_refinement
next_action_third	canonical_compression_status_congruence_refinement
